language;length;size_min_word;size_max_word;size_average_word;number_0;number_1;variance;ecart_type;is_code
['1100', '100'];2;3;4;3.5;4;3;0.5;0.7071067811865476;1
['110', '0', '0101'];3;1;4;2.67;4;4;4.67;2.1602468994692865;1
['11', '11', '001110', '01110', '011'];5;2;6;3.6;6;12;13.2;3.63318042491699;1
['010111', '101100', '10000'];3;5;6;5.67;9;8;0.67;0.816496580927726;1
['00100', '00', '1111', '1111', '111010', '10011', '01', '110001'];8;2;6;4.25;14;20;17.5;4.183300132670378;1
['10', '011110', '1001000', '01', '00110'];5;2;7;4.4;12;10;21.2;4.604345773288535;1
['100011'];1;6;6;6.0;3;3;0.0;0.0;1
['000111', '0000', '011001'];3;4;6;5.33;10;6;2.67;1.632993161855452;1
['101', '00'];2;2;3;2.5;3;2;0.5;0.7071067811865476;1
['111', '10011', '01', '110001'];4;2;6;4.0;6;10;10.0;3.1622776601683795;1
['0', '001000', '00001', '0'];4;1;6;3.25;11;2;20.75;4.55521678957215;1
['1111', '010'];2;3;4;3.5;2;5;0.5;0.7071067811865476;1
['11011', '100100', '10111', '101100', '10', '0000111', '1001001', '110100'];8;2;7;5.5;21;23;18.0;4.242640687119285;1
['010', '0110111', '0', '111110'];4;1;7;4.25;6;11;22.75;4.769696007084728;1
['0011001', '00', '100', '0010', '011110'];5;2;7;4.4;13;9;17.2;4.147288270665544;1
['1', '0000001', '0101001', '0110', '1100101'];5;1;7;5.2;15;11;28.8;5.366563145999495;1
['10011', '0101110', '110101'];3;5;7;6.0;7;11;2.0;1.4142135623730951;1
['0101011', '1111', '000101', '000100', '00001', '011111', '1110', '1110110'];8;4;7;5.62;20;25;9.88;3.142451272494134;1
['011'];1;3;3;3.0;1;2;0.0;0.0;1
['10', '1011010', '1011'];3;2;7;4.33;5;8;12.67;3.559026084010437;1
['0', '110100', '11', '0111101', '00111', '1101001', '0'];7;1;7;4.14;12;17;44.86;6.697547525560596;1
['1100011', '1011', '101011', '00'];4;2;7;4.75;8;11;14.75;3.840572873934304;1
['1010100', '1011111', '01110', '0011011', '01', '1101', '100000'];7;2;7;5.43;17;21;21.71;4.65985898008574;1
['100', '0101111', '010'];3;3;7;4.33;6;7;10.67;3.265986323710904;1
['0', '0011', '01', '0'];4;1;4;2.0;5;3;6.0;2.449489742783178;1
['0101100', '00', '10101'];3;2;7;4.67;8;6;12.67;3.559026084010437;1
['10110', '00100', '1', '1110000', '00'];5;1;7;4.0;12;8;24.0;4.898979485566356;1
['0001', '1101'];2;4;4;4.0;4;4;0.0;0.0;1
['0001', '0100110', '10011'];3;4;7;5.33;9;7;4.67;2.1602468994692865;1
